ticker,fund_name,market_status,etp_category,asset_class_focus,why_skipped
1884143D US,DIREXION S&P LATIN AMERICA 40 RC VOLATILITY RESPONSE SHARES,LIQU,,Equity,No pattern matched any rule
2624852D US,AB EMERGING MARKETS OPPORTUNITIES ETF/REORGANIZED,INAC,,,No pattern matched any rule
BLCV UA 03/20/26 C29,,NULL,,,No pattern matched any rule
CREF US,WHITEWOLF COMMERCIAL REAL ESTATE FINANCE INCOME ETF,PEND,,Real Estate,No pattern matched any rule
GRFT US,TUTTLE CAPITAL GOVERNMENT GRIFT ETF,PEND,,,No pattern matched any rule
HVOL US,RUSSELL 1000 HIGH VOLATILITY ETF,LIQU,,Equity,No pattern matched any rule
NBGR US,NEUBERGER BERMAN GLOBAL REAL ESTATE ETF,LIQU,,Real Estate,No pattern matched any rule
OVLC US,INVESCO U.S. LARGE CAP OPTIMIZED VOLATILITY ETF,LIQU,,Equity,No pattern matched any rule
RINC US,AXS REAL ESTATE INCOME ETF,LIQU,,Real Estate,No pattern matched any rule
SHVY US,RUSSELL 2000 HIGH VOLATILITY ETF,LIQU,,Equity,No pattern matched any rule
851875CT,CITY OF SPRINGVILLE AL WATER & SEWER REVENUE,NULL,,,No pattern matched any rule
SPXH US,JANUS VELOCITY VOLATILITY HEDGE LARGE CAP ETF,LIQU,,Equity,No pattern matched any rule
RB03U3NS,,NULL,,,No pattern matched any rule
STXMF US,STARREX INTERNATIONAL LTD,PRNA,,,No pattern matched any rule
SZR US,WISDOMTREE SOUTH AFRICAN RAND FUND,LIQU,,Money Market,No pattern matched any rule
XMDYX US,SPDR S&P MIDCAP 400 ETF TRUST/X TICKER,INAC,,,No pattern matched any rule
