trust_name,ap_name,sort_order,notes
ETF Opportunities Trust,Virtu Americas LLC,1,
ETF Opportunities Trust,"BofA Securities, Inc.",2,
ETF Opportunities Trust,Goldman Sachs & Co. LLC,3,
ETF Opportunities Trust,Cantor Fitzgerald & Co.,4,
ETF Opportunities Trust,Citadel Securities LLC,5,
ETF Opportunities Trust,"J.P. Morgan Securities, LLC",6,
ETF Opportunities Trust,TD Securities (USA) LLC,7,
ETF Opportunities Trust,Mirae Asset Securities (USA) Inc.,8,
ETF Opportunities Trust,ABN AMRO Clearing USA LLC,9,
ETF Opportunities Trust,Macquarie Capital (USA) Inc.,10,
ETF Opportunities Trust,"RBC Capital Markets, LLC",11,
ETF Opportunities Trust,Barclays Capital Inc.,12,
ETF Opportunities Trust,Clear Street LLC,13,
ETF Opportunities Trust,"Jane Street Capital, LLC",14,
ETF Opportunities Trust,"Wells Fargo Securities, LLC",15,
ETF Opportunities Trust (US Bank),Goldman Sachs & Co. LLC,1,
ETF Opportunities Trust (US Bank),"BofA Securities, Inc.",2,
ETF Opportunities Trust (US Bank),"J.P. Morgan Securities, LLC",3,
ETF Opportunities Trust (US Bank),ABN AMRO Clearing USA LLC,4,
ETF Opportunities Trust (US Bank),Virtu Americas LLC,5,
ETF Opportunities Trust (US Bank),"Jane Street Capital, LLC",6,
ETF Opportunities Trust (US Bank),Macquarie Capital (USA) Inc.,7,
ETF Opportunities Trust (US Bank),Mirae Asset Securities (USA) Inc.,8,
ETF Opportunities Trust (US Bank),Cantor Fitzgerald & Co.,9,
ETF Opportunities Trust (US Bank),BMO Capital Markets Corp.,10,
ETF Opportunities Trust (US Bank),Clear Street LLC,11,
ETF Opportunities Trust (US Bank),"Wells Fargo Securities, LLC",12,
REX ETF Trust,Goldman Sachs & Co. LLC,1,
REX ETF Trust,"Jane Street Capital, LLC",2,
REX ETF Trust,Virtu Americas LLC,3,
REX ETF Trust,"J.P. Morgan Securities, LLC",4,
REX ETF Trust,"BofA Securities, Inc.",5,
REX ETF Trust,RBC Capital Markets LLC,6,
REX ETF Trust,Clear Street LLC,7,
World Funds Trust,"Jane Street Capital, LLC",1,
World Funds Trust,Macquarie Capital (USA) Inc.,2,
World Funds Trust,Virtu Americas LLC,3,
World Funds Trust,Cantor Fitzgerald & Co.,4,
World Funds Trust,ABN AMRO Clearing USA LLC,5,
World Funds Trust,Clear Street LLC,6,
